================================================================================
PRODUCTION TRAINING RUN - 50,000 EPOCHS
Started: 2025-12-28T23:14:55.230
================================================================================

1. Loading HankNN...
Loading HankNN code via include()...
✓ All HankNN code loaded!
✓ You can now use all functions directly
✓ Modify any .jl file and run: include("load_hank.jl") to reload
✓ Random seed: 1234
✓ Parameters and config defined
✓ Helper functions defined

================================================================================
TRAINING WITH 50000 EPOCHS
================================================================================

--------------------------------------------------------------------------------
1. TRAIN_SIMPLE! (baseline)
--------------------------------------------------------------------------------
Epoch 6900, Loss: 5.44652726525665e-5, res_X: 3.9548578728144605e-5, res_π: 1.4916693924421895e-5
Epoch 7000, Loss: 6.256374574505505e-5, res_X: 5.482485934211838e-5, res_π: 7.738886402936678e-6
Epoch 7100, Loss: 0.0001256758114849559, res_X: 0.00010508205254042711, res_π: 2.05937589445288e-5
Epoch 7200, Loss: 9.565569463360066e-5, res_X: 7.170682274394109e-5, res_π: 2.394887188965958e-5
Epoch 7300, Loss: 0.0002233351989444649, res_X: 0.00019644983382689332, res_π: 2.688536511757157e-5
Epoch 7400, Loss: 5.481583718850184e-5, res_X: 3.7207181488325485e-5, res_π: 1.7608655700176353e-5
Epoch 7500, Loss: 0.00012469067651838244, res_X: 0.0001137631565222282, res_π: 1.0927519996154248e-5
Epoch 7600, Loss: 0.00011206151660005174, res_X: 0.00010169179854539937, res_π: 1.0369718054652364e-5
Epoch 7700, Loss: 5.07290531159198e-5, res_X: 4.1109291210239187e-5, res_π: 9.619761905680615e-6
Epoch 7800, Loss: 6.795571027095714e-5, res_X: 4.936580187197688e-5, res_π: 1.858990839898027e-5
Epoch 7900, Loss: 5.319131543992547e-5, res_X: 3.8873752862895614e-5, res_π: 1.4317562577029851e-5
Epoch 8000, Loss: 7.297167037309847e-5, res_X: 6.322333837477495e-5, res_π: 9.748331998323522e-6
Epoch 8100, Loss: 0.00010620335159643096, res_X: 7.807383906715734e-5, res_π: 2.812951252927362e-5
Epoch 8200, Loss: 0.00010949151960886716, res_X: 7.588567499465455e-5, res_π: 3.360584461421261e-5
Epoch 8300, Loss: 6.726943783436186e-5, res_X: 6.321315780200595e-5, res_π: 4.056280032355904e-6
Epoch 8400, Loss: 0.0001364791598484099, res_X: 0.00012753124324908164, res_π: 8.947916599328253e-6
Epoch 8500, Loss: 8.562937636675841e-5, res_X: 7.177472669125172e-5, res_π: 1.3854649675506694e-5
Epoch 8600, Loss: 6.000437626371032e-5, res_X: 5.5470071509736415e-5, res_π: 4.534304753973903e-6
Epoch 8700, Loss: 6.74114946495138e-5, res_X: 5.424779948322215e-5, res_π: 1.3163695166291645e-5
Epoch 8800, Loss: 0.00021992511924873214, res_X: 0.00020422906510209857, res_π: 1.5696054146633578e-5
Epoch 8900, Loss: 4.145599852308985e-5, res_X: 3.408123693998991e-5, res_π: 7.374761583099945e-6
Epoch 9000, Loss: 7.371239594995254e-5, res_X: 5.061436534321472e-5, res_π: 2.3098030606737818e-5
Epoch 9100, Loss: 6.250248237513825e-5, res_X: 5.484242424185018e-5, res_π: 7.660058133288066e-6
Epoch 9200, Loss: 0.00018722498065283316, res_X: 0.00016179651271772217, res_π: 2.5428467935110993e-5
Epoch 9300, Loss: 6.0323788770131125e-5, res_X: 5.4761418706978526e-5, res_π: 5.562370063152597e-6
Epoch 9400, Loss: 0.00011633452599858418, res_X: 9.916668470737118e-5, res_π: 1.7167841291212998e-5
Epoch 9500, Loss: 7.59897826280683e-5, res_X: 4.380783307896061e-5, res_π: 3.218194954910769e-5
Epoch 9600, Loss: 5.216848949610315e-5, res_X: 4.6311766168932644e-5, res_π: 5.856723327170505e-6
Epoch 9700, Loss: 0.00017688374055165336, res_X: 0.00015657122627909175, res_π: 2.0312514272561603e-5
Epoch 9800, Loss: 4.513669648989603e-5, res_X: 4.023582881787949e-5, res_π: 4.900867672016532e-6
Epoch 9900, Loss: 4.3429550840041475e-5, res_X: 3.8385768078769816e-5, res_π: 5.043782761271657e-6
Epoch 10000, Loss: 5.749439136491283e-5, res_X: 5.166619065131149e-5, res_π: 5.828200713601336e-6
Epoch 10100, Loss: 9.695425754551609e-5, res_X: 8.00047161361768e-5, res_π: 1.694954140933929e-5
Epoch 10200, Loss: 5.1241460432118545e-5, res_X: 3.946153720807979e-5, res_π: 1.1779923224038756e-5
Epoch 10300, Loss: 0.00010552685248072949, res_X: 9.541755627427667e-5, res_π: 1.0109296206452814e-5
Epoch 10400, Loss: 7.432630160710665e-5, res_X: 6.520665104668524e-5, res_π: 9.1196505604214e-6
Epoch 10500, Loss: 5.158388443127141e-5, res_X: 4.478370068969756e-5, res_π: 6.800183741573848e-6
Epoch 10600, Loss: 7.157028380949323e-5, res_X: 5.9731509266343364e-5, res_π: 1.1838774543149875e-5
Epoch 10700, Loss: 4.414678478602034e-5, res_X: 3.690503877731126e-5, res_π: 7.241746008709087e-6
Epoch 10800, Loss: 0.00011712669570255881, res_X: 0.00010702284797179487, res_π: 1.0103847730763948e-5
Epoch 10900, Loss: 3.2753500214990004e-5, res_X: 2.8923444360279862e-5, res_π: 3.830055854710142e-6
Epoch 11000, Loss: 5.059325308778968e-5, res_X: 4.3729507604550475e-5, res_π: 6.863745483239205e-6
Epoch 11100, Loss: 0.00013430089180315502, res_X: 0.00010491498754178812, res_π: 2.9385904261366893e-5
Epoch 11200, Loss: 7.127091446453719e-5, res_X: 6.48852333423742e-5, res_π: 6.385681122162988e-6
Epoch 11300, Loss: 4.4734791403986746e-5, res_X: 3.708658003452574e-5, res_π: 7.648211369461009e-6
Epoch 11400, Loss: 4.951870026215132e-5, res_X: 3.999696932697889e-5, res_π: 9.521730935172437e-6
Epoch 11500, Loss: 6.551113270795186e-5, res_X: 5.8412310700813035e-5, res_π: 7.098822007138827e-6
Epoch 11600, Loss: 4.293704347026812e-5, res_X: 3.8340824441852355e-5, res_π: 4.596219028415766e-6
Epoch 11700, Loss: 0.0001282402171547234, res_X: 0.00011861167439331824, res_π: 9.62854276140517e-6
Epoch 11800, Loss: 6.749944648427441e-5, res_X: 6.162203546061716e-5, res_π: 5.877411023657253e-6
Epoch 11900, Loss: 3.903149311307152e-5, res_X: 3.330335052178258e-5, res_π: 5.728142591288941e-6
Epoch 12000, Loss: 5.552528007656499e-5, res_X: 4.289478175079377e-5, res_π: 1.2630498325771221e-5
Epoch 12100, Loss: 3.6886111513649835e-5, res_X: 2.4352755223395858e-5, res_π: 1.2533356290253975e-5
Epoch 12200, Loss: 4.23584336333639e-5, res_X: 3.5984333463875355e-5, res_π: 6.374100169488548e-6
Epoch 12300, Loss: 5.151648610756123e-5, res_X: 4.0432397036323125e-5, res_π: 1.1084089071238106e-5
Epoch 12400, Loss: 7.295401164444168e-5, res_X: 5.840037655189643e-5, res_π: 1.4553635092545251e-5
Epoch 12500, Loss: 0.00019682531492090893, res_X: 0.00010572775611092536, res_π: 9.109755880998358e-5
